pathology,n_images,pointing_game,mean_iou
Atelectasis,180.0,0.15,0.0698
Cardiomegaly,146.0,0.6164,0.2353
Effusion,153.0,0.281,0.1043
Infiltration,123.0,0.3415,0.1503
Mass,85.0,0.3059,0.0856
Nodule,79.0,0.3038,0.0219
Pneumonia,120.0,0.4167,0.1452
Pneumothorax,98.0,0.102,0.052
MEAN,123.0,0.3146625,0.10805000000000001
