pathology,n_images,pointing_game,mean_iou
Atelectasis,180.0,0.1833,0.1309
Cardiomegaly,146.0,0.6918,0.4153
Effusion,153.0,0.2353,0.1783
Infiltration,123.0,0.1951,0.1301
Mass,85.0,0.2235,0.1306
Nodule,79.0,0.0127,0.015
Pneumonia,120.0,0.1667,0.1029
Pneumothorax,98.0,0.102,0.0758
MEAN,123.0,0.2263,0.1473625
